지점,지점명,일시,SPI3
146,전주,11/03/2023,-0.64
146,전주,12/03/2023,-0.43
146,전주,13/03/2023,-0.57
146,전주,14/03/2023,-0.61
146,전주,15/03/2023,-0.74
146,전주,16/03/2023,-0.76
146,전주,17/03/2023,-0.92
146,전주,18/03/2023,-0.96
146,전주,19/03/2023,-1.02
146,전주,20/03/2023,-1.05
146,전주,21/03/2023,-1.36
146,전주,22/03/2023,-1.5
146,전주,23/03/2023,-1.28
146,전주,24/03/2023,-1.28
146,전주,25/03/2023,-1.35
146,전주,26/03/2023,-1.4
146,전주,27/03/2023,-1.37
146,전주,28/03/2023,-1.37
146,전주,29/03/2023,-1.4
146,전주,30/03/2023,-1.43
146,전주,31/03/2023,-1.42
146,전주,01/04/2023,-1.45
146,전주,02/04/2023,-1.47
146,전주,03/04/2023,-1.46
146,전주,04/04/2023,-1.19
146,전주,05/04/2023,-0.85
146,전주,06/04/2023,-0.81
146,전주,07/04/2023,-0.78
146,전주,08/04/2023,-0.79
146,전주,09/04/2023,-0.9
146,전주,10/04/2023,-0.96
146,전주,11/04/2023,-0.99
146,전주,12/04/2023,-1.04
146,전주,13/04/2023,-1.65
146,전주,14/04/2023,-1.68
146,전주,15/04/2023,-1.65
146,전주,16/04/2023,-1.61
146,전주,17/04/2023,-1.6
146,전주,18/04/2023,-1.74
146,전주,19/04/2023,-1.91
146,전주,20/04/2023,-1.93
146,전주,21/04/2023,-1.97
146,전주,22/04/2023,-2
146,전주,23/04/2023,-2.01
146,전주,24/04/2023,-1.99
146,전주,25/04/2023,-1.93
146,전주,26/04/2023,-2.02
146,전주,27/04/2023,-2.04
146,전주,28/04/2023,-2.04
146,전주,29/04/2023,-1.88
146,전주,30/04/2023,-1.9
146,전주,01/05/2023,-1.94
146,전주,02/05/2023,-1.94
146,전주,03/05/2023,-2.01
146,전주,04/05/2023,-1.98
146,전주,05/05/2023,-0.59
146,전주,06/05/2023,-0.37
146,전주,07/05/2023,-0.39
146,전주,08/05/2023,-0.4
146,전주,09/05/2023,-0.43
146,전주,11/05/2023,-0.62
146,전주,12/05/2023,-0.65
146,전주,13/05/2023,-0.7
146,전주,14/05/2023,-0.76
146,전주,15/05/2023,-0.76
146,전주,16/05/2023,-0.75
146,전주,17/05/2023,-0.78
146,전주,18/05/2023,-0.85
